score,at,content,tokens,tokens_nostop,stemmed,final_text,sentiment_label,sentiment_score
4,2025 09 16 14 38 20,kenapa si akhir akhir ini shope ga bisa cod sedih banget di beberapa akun bukan cuma akun aku doang buka dong cod lagi aku ga pernah bermasalah juga abis co barang trus besoknya co lagi ga bisa cod,"['kenapa', 'si', 'akhir', 'akhir', 'ini', 'shope', 'ga', 'bisa', 'cod', 'sedih', 'banget', 'di', 'beberapa', 'akun', 'bukan', 'cuma', 'akun', 'aku', 'doang', 'buka', 'dong', 'cod', 'lagi', 'aku', 'ga', 'pernah', 'bermasalah', 'juga', 'abis', 'co', 'barang', 'trus', 'besoknya', 'co', 'lagi', 'ga', 'bisa', 'cod']","['bermasalah', 'besoknya']","['masalah', 'besok']",masalah besok,negative,0.9978232383728027
5,2025 09 16 14 20 18,cuma sayang sudah ngga bisa cod disini entah karena apa,"['cuma', 'sayang', 'sudah', 'ngga', 'bisa', 'cod', 'disini', 'entah', 'karena', 'apa']",[],[],,ERROR,0.0
5,2025 09 16 13 26 51,cod sesuai pengiriman cepat,"['cod', 'sesuai', 'pengiriman', 'cepat']",[],[],,ERROR,0.0
1,2025 09 16 13 20 16,biasanya bisa cod tapi sekarang gak bisa waktu itu seperti itu juga setelah itu normal kembali tapi sekarang benar tidak bisa cod,"['biasanya', 'bisa', 'cod', 'tapi', 'sekarang', 'gak', 'bisa', 'waktu', 'itu', 'seperti', 'itu', 'juga', 'setelah', 'itu', 'normal', 'kembali', 'tapi', 'sekarang', 'benar', 'tidak', 'bisa', 'cod']",[],[],,ERROR,0.0
5,2025 09 16 12 03 28,pake aplikasi shopee memang mudah tinggal pesan cod bayar dirumah shopee memang oke aku suka,"['pake', 'aplikasi', 'shopee', 'memang', 'mudah', 'tinggal', 'pesan', 'cod', 'bayar', 'dirumah', 'shopee', 'memang', 'oke', 'aku', 'suka']",['dirumah'],['rumah'],rumah,negative,0.6574183106422424
2,2025 09 16 11 49 31,harusnya di tmbh fitur klo saldo shopeepay masi ada tapi gak cukup saat mau beli barang bisa di tmbh pke cod dong biar gak ribet tolong ya,"['harusnya', 'di', 'tmbh', 'fitur', 'klo', 'saldo', 'shopeepay', 'masi', 'ada', 'tapi', 'gak', 'cukup', 'saat', 'mau', 'beli', 'barang', 'bisa', 'di', 'tmbh', 'pke', 'cod', 'dong', 'biar', 'gak', 'ribet', 'tolong', 'ya']",['masi'],['mas'],mas,neutral,0.6430388689041138
5,2025 09 16 11 40 23,keren bisa cod,"['keren', 'bisa', 'cod']",[],[],,ERROR,0.0
5,2025 09 16 11 24 44,dulu takut blja di shopee karna banyak barang yg ngak sesuai dengan gambar tp sekarang ada fitur cod cek dulu jd aman pengembalian atw pengajuan lain nya jd lebih gampang dengan berbagai tambahan untuk mempermudah,"['dulu', 'takut', 'blja', 'di', 'shopee', 'karna', 'banyak', 'barang', 'yg', 'ngak', 'sesuai', 'dengan', 'gambar', 'tp', 'sekarang', 'ada', 'fitur', 'cod', 'cek', 'dulu', 'jd', 'aman', 'pengembalian', 'atw', 'pengajuan', 'lain', 'nya', 'jd', 'lebih', 'gampang', 'dengan', 'berbagai', 'tambahan', 'untuk', 'mempermudah']","['blja', 'pengajuan', 'tambahan', 'mempermudah']","['blja', 'aju', 'tambah', 'mudah']",blja aju tambah mudah,positive,0.9724823832511902
5,2025 09 16 09 06 52,jaminan pembelian sangat baik jika ada yg salah kita tolak cod langsung uang kembali via shopee pay dan retur produk dg cepat di ambil sesuai jadwal yg telah di tentukan kita utk di kembalikan krn pembeli itu mengandalkan jaminan via fihak ke tiga bravo shopee indonesia,"['jaminan', 'pembelian', 'sangat', 'baik', 'jika', 'ada', 'yg', 'salah', 'kita', 'tolak', 'cod', 'langsung', 'uang', 'kembali', 'via', 'shopee', 'pay', 'dan', 'retur', 'produk', 'dg', 'cepat', 'di', 'ambil', 'sesuai', 'jadwal', 'yg', 'telah', 'di', 'tentukan', 'kita', 'utk', 'di', 'kembalikan', 'krn', 'pembeli', 'itu', 'mengandalkan', 'jaminan', 'via', 'fihak', 'ke', 'tiga', 'bravo', 'shopee', 'indonesia']","['jaminan', 'pembelian', 'tentukan', 'kembalikan', 'mengandalkan', 'jaminan']","['jamin', 'beli', 'tentu', 'kembali', 'andal', 'jamin']",jamin beli tentu kembali andal jamin,positive,0.9680156707763672
5,2025 09 16 02 03 45,sudah ok tapi tipe cod nya di batasi itu aja kurangnya,"['sudah', 'ok', 'tapi', 'tipe', 'cod', 'nya', 'di', 'batasi', 'itu', 'aja', 'kurangnya']","['batasi', 'kurangnya']","['batas', 'kurang']",batas kurang,positive,0.9003193974494934
2,2025 09 15 22 27 06,banyak barang tidak bisa cod,"['banyak', 'barang', 'tidak', 'bisa', 'cod']",[],[],,ERROR,0.0
5,2025 09 15 21 35 10,kenapa akun saya gak bisa untuk cod,"['kenapa', 'akun', 'saya', 'gak', 'bisa', 'untuk', 'cod']",[],[],,ERROR,0.0
2,2025 09 15 20 54 43,ngak bisa pake cod sekarang mh,"['ngak', 'bisa', 'pake', 'cod', 'sekarang', 'mh']",[],[],,ERROR,0.0
5,2025 09 15 19 54 51,sangat membantu dalam berbelanja tidak ribet dan bisa cod,"['sangat', 'membantu', 'dalam', 'berbelanja', 'tidak', 'ribet', 'dan', 'bisa', 'cod']","['membantu', 'berbelanja']","['bantu', 'belanja']",bantu belanja,negative,0.8884004950523376
1,2025 09 15 18 01 50,ga tau sekarang shopee aku ga bisa untuk coddd tolong di perbaiki donkkk shopeeeee,"['ga', 'tau', 'sekarang', 'shopee', 'aku', 'ga', 'bisa', 'untuk', 'coddd', 'tolong', 'di', 'perbaiki', 'donkkk', 'shopeeeee']",[],[],,ERROR,0.0
5,2025 09 15 14 57 04,udah beberapa kali cod dari shopee dan tidak pernah mengecewakan,"['udah', 'beberapa', 'kali', 'cod', 'dari', 'shopee', 'dan', 'tidak', 'pernah', 'mengecewakan']",['mengecewakan'],['kecewa'],kecewa,negative,0.9987541437149048
5,2025 09 15 13 40 45,pembelian nya bagus tapi daerah saya tidak ada cod nya dulu ada sekarang sudah tidak ada,"['pembelian', 'nya', 'bagus', 'tapi', 'daerah', 'saya', 'tidak', 'ada', 'cod', 'nya', 'dulu', 'ada', 'sekarang', 'sudah', 'tidak', 'ada']",['pembelian'],['beli'],beli,positive,0.9950403571128845
5,2025 09 15 11 53 09,terimakasih atas pengertian dan respon baik dari shopee akhirnya sdh bisa cod lagi trmksh,"['terimakasih', 'atas', 'pengertian', 'dan', 'respon', 'baik', 'dari', 'shopee', 'akhirnya', 'sdh', 'bisa', 'cod', 'lagi', 'trmksh']","['pengertian', 'trmksh']","['erti', 'trmksh']",erti trmksh,neutral,0.7761948704719543
5,2025 09 15 11 15 50,saya sangat suka shopee belanja lebih praktis murah dan yang paling penting gratis ongkirnya dan banyak produk yang bisa cod sarangae shopeee sukses selalu buat kamu semoga aku juga bisa tambah penghasialn di shopeee dan bisa belanja terus di shopeee,"['saya', 'sangat', 'suka', 'shopee', 'belanja', 'lebih', 'praktis', 'murah', 'dan', 'yang', 'paling', 'penting', 'gratis', 'ongkirnya', 'dan', 'banyak', 'produk', 'yang', 'bisa', 'cod', 'sarangae', 'shopeee', 'sukses', 'selalu', 'buat', 'kamu', 'semoga', 'aku', 'juga', 'bisa', 'tambah', 'penghasialn', 'di', 'shopeee', 'dan', 'bisa', 'belanja', 'terus', 'di', 'shopeee']","['belanja', 'sarangae', 'penghasialn', 'belanja']","['belanja', 'sarangae', 'penghasialn', 'belanja']",belanja sarangae penghasialn belanja,neutral,0.9813801646232605
4,2025 09 15 07 37 42,mantap tpi gak bisa cod,"['mantap', 'tpi', 'gak', 'bisa', 'cod']",[],[],,ERROR,0.0
5,2025 09 15 03 44 30,pengiriman sangat cepat suka bgt dgn adax fitur cod,"['pengiriman', 'sangat', 'cepat', 'suka', 'bgt', 'dgn', 'adax', 'fitur', 'cod']",['adax'],['adax'],adax,positive,0.9610097408294678
